Curs,Codi centre,Denominació completa,"Codi naturalesa (1,2)",Nom naturalesa,Codi titularitat,Nom titularitat,Codi delegació,Nom delegació,Codi comarca,Nom comarca,Codi municipi_5,Nom municipi,Codi ensenyament,Nom ensenyament,Torn,Nivell,Nombre grups,Nombre places,Places ofertades a la preinscripció
2024/2025,43007166,Institut Lluís Domènech i Montaner,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43123,Reus,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,4
2024/2025,43007129,Institut Julio Antonio,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,30,Ribera d'Ebre,43093,Móra d'Ebre,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,15
2024/2025,43007129,Institut Julio Antonio,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,30,Ribera d'Ebre,43093,Móra d'Ebre,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,35
2024/2025,43007087,Institut Sòl de Riu,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,22,Montsià,43004,Alcanar,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,1,35,2
2024/2025,43007087,Institut Sòl de Riu,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,22,Montsià,43004,Alcanar,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,27
2024/2025,43006976,Institut Candelera,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,09,Baix Ebre,43013,L'Ametlla de Mar,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,1,35,3
2024/2025,43006976,Institut Candelera,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,09,Baix Ebre,43013,L'Ametlla de Mar,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,1,35,23
2024/2025,43006964,Institut de Deltebre,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,09,Baix Ebre,43901,Deltebre,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,17
2024/2025,43006964,Institut de Deltebre,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,09,Baix Ebre,43901,Deltebre,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,23
2024/2025,43006952,Institut Torredembarra,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43153,Torredembarra,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,3,105,35
2024/2025,43006952,Institut Torredembarra,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43153,Torredembarra,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,3,105,28
2024/2025,43006952,Institut Torredembarra,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43153,Torredembarra,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,2,5,18,12
2024/2025,43006952,Institut Torredembarra,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43153,Torredembarra,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,1,5,18,16
2024/2025,43006691,Institut Priorat,1,Públic,01,Departament d'Educació,0143,Tarragona,29,Priorat,43055,Falset,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,29
2024/2025,43006691,Institut Priorat,1,Públic,01,Departament d'Educació,0143,Tarragona,29,Priorat,43055,Falset,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,70
2024/2025,43006681,Institut de La Sénia,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,22,Montsià,43044,La Sénia,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,1,35,10
2024/2025,43006681,Institut de La Sénia,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,22,Montsià,43044,La Sénia,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,1,35,12
2024/2025,43006678,Institut Gabriel Ferrater i Soler,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43123,Reus,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,5,175,9
2024/2025,08020620,Institut Pompeu Fabra,1,Públic,01,Departament d'Educació,0308,Baix Llobregat,11,Baix Llobregat,08114,Martorell,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,2,2,70,7
2024/2025,43006678,Institut Gabriel Ferrater i Soler,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43123,Reus,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,5,175,19
2024/2025,43006678,Institut Gabriel Ferrater i Soler,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43123,Reus,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,2,2,70,6
2024/2025,43006678,Institut Gabriel Ferrater i Soler,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43123,Reus,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,1,2,70,60
2024/2025,43006654,Institut Cambrils,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43038,Cambrils,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,3,105,19
2024/2025,43006654,Institut Cambrils,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43038,Cambrils,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,3,105,40
2024/2025,43006642,Institut Terra Alta,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,37,Terra Alta,43064,Gandesa,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,32
2024/2025,43006642,Institut Terra Alta,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,37,Terra Alta,43064,Gandesa,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,28
2024/2025,43006496,Institut Manuel Sales i Ferré,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,22,Montsià,43156,Ulldecona,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,1,35,5
2024/2025,43006496,Institut Manuel Sales i Ferré,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,22,Montsià,43156,Ulldecona,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,1,35,4
2024/2025,43006125,Institut Campclar,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43148,Tarragona,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,10
2024/2025,43006125,Institut Campclar,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43148,Tarragona,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,4
2024/2025,43005972,Institut Ramon Barbat i Miracle,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43171,Vila-seca,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,25
2024/2025,43005972,Institut Ramon Barbat i Miracle,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43171,Vila-seca,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,78,4
2024/2025,43005704,Institut Francesc Vidal i Barraquer,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43148,Tarragona,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,7
2024/2025,43005704,Institut Francesc Vidal i Barraquer,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43148,Tarragona,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,60
